code,name,risk_source,amount
561660,通用航空ETF平安,军工,16116842
561600,消费电子ETF平安,消费,37741441
561510,中药ETF华泰柏瑞,医药,725741
561360,石油ETF国泰,周期资源,66967879
561330,矿业ETF国泰,周期资源,135554779
561260,能源ETF工银,周期资源,5817840
561220,数字经济ETF工银,科技成长,12968389
561120,家电ETF富国,消费,15787230
561100,消费电子ETF富国,消费,115432221
561010,软件ETF华安,科技成长,12671592
560900,创新药ETF摩根,医药,12434245
560880,家电ETF广发,消费,24354493
560870,工业有色ETF中银,周期资源,7123614
560860,工业有色ETF万家,周期资源,460614838
560850,信创ETF汇添富,科技成长,9876476
560800,数字经济ETF鹏扬,科技成长,17623151
560790,软件ETF鹏华,科技成长,13648282
560780,半导体设备ETF广发,科技成长,512098615
560770,机器人ETF招商,科技成长,48339197
560680,消费ETF广发,消费,14864060
560630,机器人ETF万家,科技成长,22819809
560490,工业有色ETF华泰柏瑞,周期资源,16149922
560470,有色ETF易方达,周期资源,14296670
560400,证券ETF华泰柏瑞,金融,31265483
560360,软件ETF万家,科技成长,6195443
560290,有色ETF景顺,周期资源,7328374
560260,医疗ETF广发,医药,5988967
560210,农牧渔ETF景顺,消费,14501975
560090,证券ETF汇添富,金融,132368683
560080,中药ETF汇添富,医药,42436493
526050,港股通信息技术ETF招商,科技成长,142332594
526010,港股通医疗ETF汇添富,医药,6492064
526000,港股通信息技术ETF华夏,科技成长,208436367
520970,港股通创新药ETF嘉实,医药,34882540
520880,港股通创新药ETF华宝,医药,264962104
520850,港股通医疗ETF易方达,医药,7231878
520700,港股通创新药ETF万家,医药,121851901
520690,港股创新药ETF博时,医药,67472528
520510,港股通医疗ETF华夏,医药,117643317
517990,沪港深医药ETF招商,医药,692959
517900,银行AH优选ETF招商,金融,42589890
517880,品牌消费ETF华泰柏瑞,消费,2076936
517800,人工智能50ETF方正富邦,科技成长,11620323
517550,沪港深消费龙头ETF招商,消费,3879128
517380,创新药ETF天弘,医药,30009035
517120,创新药ETF华泰柏瑞,医药,11047656
517110,创新药ETF国泰,医药,8254889
516980,证券先锋ETF华富,金融,4671684
516920,芯片ETF汇添富,科技成长,76713830
516900,食品饮料ETF华安,消费,3299277
516890,新材料ETF平安,周期资源,2101056
516860,金融科技ETF博时,金融,77523832
516850,新能源ETF华夏,周期资源,19284669
516820,医疗创新ETF平安,医药,31967002
516810,农业ETF华夏,消费,99718377
516790,医疗ETF华泰柏瑞,医药,6581540
516780,稀土ETF华泰柏瑞,周期资源,121849343
516760,养殖ETF平安,消费,6092755
516730,证券ETF浦银,金融,3271957
516710,新材料ETF华夏,周期资源,4234129
516670,畜牧养殖ETF招商,消费,35092070
516660,新能源车ETF华安,周期资源,2694518
516650,有色金属ETF华夏,周期资源,315223634
516640,芯片ETF富国,科技成长,205205025
516610,医疗设备ETF大成,医药,3354297
516600,消费服务ETF工银,消费,1405579
516580,新能源ETF博时,周期资源,1921869
516570,化工行业ETF易方达,周期资源,65735925
516550,农业ETF嘉实,消费,10674420
516390,新能源车ETF汇添富,周期资源,7542414
516360,新材料ETF华宝,周期资源,5695769
516350,芯片ETF易方达,科技成长,213090183
516310,银行ETF易方达,金融,111392198
516270,新能源ETF华安,周期资源,11013748
516220,化工ETF国泰,周期资源,40533862
516210,银行ETF华安,金融,10415598
516200,证券ETF华安,金融,8388442
516160,新能源ETF南方,周期资源,221080404
516150,稀土ETF嘉实,周期资源,294560053
516130,消费龙头ETF华宝,消费,10101293
516120,化工ETF富国,周期资源,82294924
516100,金融科技ETF华夏,金融,38556711
516090,新能源ETF易方达,周期资源,67588961
516080,创新药ETF易方达,医药,67351167
516060,创新药ETF工银,医药,11255674
516020,化工ETF华宝,周期资源,170565066
515980,人工智能ETF华富,科技成长,438343209
515960,医药ETF嘉实,医药,9814499
515950,医药50ETF富国,医药,10660401
515920,智能消费ETF博时,消费,10631740
515880,通信ETF国泰,科技成长,4179835398
515850,证券ETF富国,金融,38119651
515730,家居家电ETF永赢,消费,3088876
515720,金融科技ETF富国,金融,15073965
515710,食品饮料ETF华宝,消费,36321845
515700,新能源车ETF平安,周期资源,80300158
515650,消费50ETF富国,消费,50025109
515640,家电ETF华夏,消费,935303
515630,证券保险ETF鹏华,金融,119417569
515560,证券ETF建信,金融,13444494
