date,nav
2022-12-05,2208025.3528476343
2022-12-06,2200280.035506879
2022-12-07,2198468.047473832
2022-12-08,2198244.4991240576
2022-12-09,2207940.0689197257
2022-12-12,2192691.8187182248
2022-12-13,2202766.2457055147
2022-12-14,2220659.235919468
2022-12-15,2203339.3201315496
2022-12-16,2182202.5633523613
2022-12-19,2169119.5691882973
2022-12-20,2147940.4325566962
2022-12-21,2157463.660949071
2022-12-22,2159680.4229947417
2022-12-23,2147680.2489923183
2022-12-26,2163130.1554845776
2022-12-27,2178900.4627092606
2022-12-28,2176136.9213425685
2022-12-29,2171171.8584884075
2022-12-30,2182728.1463062726
2023-01-03,2186050.448619801
2023-01-04,2191546.5844855616
2023-01-05,2212057.5521977823
2023-01-06,2215970.469481073
2023-01-09,2233247.0829982497
2023-01-10,2241965.9482151
2023-01-11,2236751.988339333
2023-01-12,2238777.9447753043
2023-01-13,2256738.6132639544
2023-01-16,2269877.710999846
2023-01-17,2274594.9134115377
2023-01-18,2270467.6044961065
2023-01-19,2286424.041908725
2023-01-20,2300181.1895407233
2023-01-30,2311599.2889736914
2023-01-31,2295464.421398078
2023-02-01,2309930.016430016
2023-02-02,2318785.911488234
2023-02-03,2299928.361764688
2023-02-06,2278849.659138966
2023-02-07,2278360.637059589
2023-02-08,2282445.247785207
2023-02-09,2293480.5900578075
2023-02-10,2276044.6341088875
2023-02-13,2287490.951178363
2023-02-14,2293633.601961818
2023-02-15,2286070.452142339
2023-02-16,2285667.4703133516
2023-02-17,2254480.000858307
2023-02-20,2274239.7123910007
2023-02-21,2271515.842054161
2023-02-22,2256766.673640331
2023-02-23,2260984.5245991484
2023-02-24,2254433.455950943
2023-02-27,2244014.4101929325
2023-02-28,2252620.560459384
2023-03-01,2260547.58123011
2023-03-02,2248627.6173626375
2023-03-03,2257339.2198830107
2023-03-06,2274468.954723826
2023-03-07,2237805.3233252647
2023-03-08,2237957.5610888232
2023-03-09,2234693.8431613375
2023-03-10,2215154.21177964
2023-03-13,2229362.5747070215
2023-03-14,2224870.0628939085
2023-03-15,2234203.875847945
2023-03-16,2221492.8805842507
2023-03-17,2237420.0357662705
2023-03-20,2247362.3480129573
2023-03-21,2247602.12033501
2023-03-22,2258766.0097716018
2023-03-23,2276954.6865451364
2023-03-24,2291157.974406081
2023-03-27,2291903.48727196
2023-03-28,2269929.4644785854
2023-03-29,2278754.6057133805
2023-03-30,2286321.667508057
2023-03-31,2302499.6974822893
2023-04-03,2319963.543357229
2023-04-04,2330701.4737198493
2023-04-06,2324702.114429688
2023-04-07,2341035.0347777894
2023-04-10,2331293.903428525
2023-04-11,2340183.7398505528
2023-04-12,2339842.868655318
2023-04-13,2335413.089942075
2023-04-14,2345689.9620376523
2023-04-17,2351258.7986278106
2023-04-18,2349908.8180914843
2023-04-19,2343206.490428507
2023-04-20,2342340.335043936
2023-04-21,2303151.669548779
2023-04-24,2289775.3629838857
2023-04-25,2287116.0551605937
2023-04-26,2286862.0893647936
2023-04-27,2289492.8893340444
2023-04-28,2296091.618759355
2023-05-04,2312583.5819931477
2023-05-05,2323606.593079077
2023-05-08,2337713.9922572393
2023-05-09,2332615.326689502
2023-05-10,2314803.9034474334
2023-05-11,2319150.185713466
2023-05-12,2309955.267363768
2023-05-15,2319555.746731866
2023-05-16,2312370.4765222007
2023-05-17,2309464.299136367
2023-05-18,2310694.540129744
2023-05-19,2313665.6943436735
2023-05-22,2309231.0046026977
2023-05-23,2302393.9729343974
2023-05-24,2296739.8288415177
2023-05-25,2302811.5978291812
2023-05-26,2301366.404808057
2023-05-29,2321451.6365480563
2023-05-30,2321761.8294604104
2023-05-31,2328193.4603956374
2023-06-01,2327795.740469619
2023-06-02,2335589.0416022427
2023-06-05,2332448.7201574757
2023-06-06,2333587.9272774607
2023-06-07,2336468.7974960157
2023-06-08,2321750.7090909244
2023-06-09,2335685.500587464
2023-06-12,2342667.9214033517
2023-06-13,2357999.3422271884
2023-06-14,2359040.6994781853
2023-06-15,2358226.2241092194
2023-06-16,2379178.573874907
2023-06-19,2377955.3578414633
2023-06-20,2380571.567732532
2023-06-21,2362662.0522065633
2023-06-26,2343385.2570426804
2023-06-27,2338942.4828615864
2023-06-28,2341411.9973007315
2023-06-29,2353317.6996365706
2023-06-30,2365266.9695323794
2023-07-03,2380913.036336981
2023-07-04,2374325.152911528
2023-07-05,2373895.363596203
2023-07-06,2367139.5954144904
2023-07-07,2356754.830235844
2023-07-10,2344963.463853749
2023-07-11,2350056.8622506047
2023-07-12,2337354.094502514
2023-07-13,2355154.904511147
2023-07-14,2356215.627029381
2023-07-17,2358008.661769545
2023-07-18,2368295.280272291
2023-07-19,2392120.1278973925
2023-07-20,2370212.4461557427
2023-07-21,2359045.295403105
2023-07-24,2346463.2883401276
2023-07-25,2356979.4256524467
2023-07-26,2359856.0250231116
2023-07-27,2366176.186507175
2023-07-28,2370584.612618783
2023-07-31,2382995.812831852
2023-08-01,2381674.2315060985
2023-08-02,2370698.4355416363
2023-08-03,2370211.9395872788
2023-08-04,2380201.182050005
2023-08-07,2369448.134030012
2023-08-08,2367338.059670155
2023-08-09,2365095.0253450605
2023-08-10,2361837.834746092
2023-08-11,2325556.1725160093
2023-08-14,2315132.256270725
2023-08-15,2335031.2304140776
2023-08-16,2330545.0523969354
2023-08-17,2325992.7020949298
2023-08-18,2301223.648266911
2023-08-21,2281790.987807023
2023-08-22,2297033.9415562316
2023-08-23,2288879.419934232
2023-08-24,2310695.1255320474
2023-08-25,2290495.6201950414
2023-08-28,2300065.607581328
2023-08-29,2298495.1803080947
2023-08-30,2301053.3741472983
2023-08-31,2297798.416831985
2023-09-01,2296215.097190713
2023-09-04,2298413.1687833606
2023-09-05,2290891.655234912
2023-09-06,2287626.933190097
2023-09-07,2282708.2983795665
2023-09-08,2293370.7874306017
2023-09-11,2284856.231390102
2023-09-12,2281306.1029253327
2023-09-13,2285224.488587401
2023-09-14,2291827.99808424
2023-09-15,2288433.210757065
2023-09-18,2271636.5832002745
2023-09-19,2274475.040632859
2023-09-20,2277030.995451447
2023-09-21,2272227.8086999147
2023-09-22,2268409.8023385713
2023-09-25,2282498.9065365726
2023-09-26,2277929.1257858463
2023-09-27,2270840.9366618237
2023-09-28,2238104.5040106564
2023-10-09,2234999.981106633
2023-10-10,2223046.316569542
2023-10-11,2237259.549318126
2023-10-12,2240410.5649958747
2023-10-13,2226664.0857279156
2023-10-16,2198004.5856947205
2023-10-17,2205453.236765375
2023-10-18,2209424.6343715372
2023-10-19,2195918.82399744
2023-10-20,2212873.93576223
2023-10-23,2203722.3941982565
2023-10-24,2204787.072227849
2023-10-25,2198767.3666969226
2023-10-26,2209965.543662028
2023-10-27,2213051.4479295784
2023-10-30,2233290.6367645855
2023-10-31,2235487.4130448056
2023-11-01,2227261.5935595753
2023-11-02,2225075.8942478267
2023-11-03,2223628.84727563
2023-11-06,2212534.8204887877
2023-11-07,2208486.686188858
2023-11-08,2204245.0200880277
2023-11-09,2197038.2355592162
2023-11-10,2205098.1709019365
2023-11-13,2202542.1521198046
2023-11-14,2206314.740251434
2023-11-15,2222221.0528259305
2023-11-16,2216551.4259297596
2023-11-17,2218564.3237912296
2023-11-20,2199894.432584968
2023-11-21,2211876.016657047
2023-11-22,2202973.4849475073
2023-11-23,2207345.1287407824
2023-11-24,2209102.594561925
2023-11-27,2198614.1141089327
2023-11-28,2201886.4234327613
2023-11-29,2197334.6309856684
2023-11-30,2196342.522352291
2023-12-01,2184963.1628176947
2023-12-04,2183173.250943767
2023-12-05,2167788.3512432138
2023-12-06,2171314.2380042756
2023-12-07,2169038.269162331
2023-12-08,2173436.5995326648
2023-12-11,2173559.7830753853
2023-12-12,2175697.2415999463
2023-12-13,2178400.4187500374
2023-12-14,2182317.299353795
2023-12-15,2179885.704206731
2023-12-18,2181346.3322388465
2023-12-19,2183638.965570501
2023-12-20,2185884.5967618353
2023-12-21,2182791.4928224776
2023-12-22,2185733.9079729747
2023-12-25,2186651.293040146
2023-12-26,2189366.435579715
2023-12-27,2191282.593122638
2023-12-28,2191104.7166527133
2023-12-29,2190716.7931898474
2024-01-02,2190946.0488756546
2024-01-03,2190946.0488756546
2024-01-04,2190946.0488756546
2024-01-05,2190946.0488756546
2024-01-08,2190946.0488756546
2024-01-09,2190946.0488756546
2024-01-10,2190946.0488756546
2024-01-11,2190946.0488756546
2024-01-12,2190946.0488756546
2024-01-15,2190946.0488756546
2024-01-16,2190946.0488756546
2024-01-17,2190946.0488756546
2024-01-18,2190946.0488756546
2024-01-19,2190946.0488756546
2024-01-22,2190946.0488756546
2024-01-23,2190946.0488756546
2024-01-24,2190946.0488756546
2024-01-25,2190946.0488756546
2024-01-26,2190946.0488756546
2024-01-29,2190946.0488756546
2024-01-30,2190946.0488756546
2024-01-31,2190946.0488756546
2024-02-01,2190946.0488756546
2024-02-02,2190946.0488756546
2024-02-05,2190946.0488756546
2024-02-06,2190946.0488756546
2024-02-07,2190946.0488756546
2024-02-08,2197407.4135673847
2024-02-19,2190226.1445670514
2024-02-20,2187807.946087081
2024-02-21,2188707.6693619695
2024-02-22,2202105.1579622384
2024-02-23,2209369.7316478835
2024-02-26,2200930.2520330367
2024-02-27,2206205.119080465
2024-02-28,2201699.3032647683
2024-02-29,2208638.166718701
2024-03-01,2225762.3539722417
2024-03-04,2239807.4875189117
2024-03-05,2247835.047799091
2024-03-06,2248367.207375724
2024-03-07,2249122.8301493768
2024-03-08,2259444.422454622
2024-03-11,2281822.180307566
2024-03-12,2284626.8958971906
2024-03-13,2281279.130362038
2024-03-14,2275734.8504305226
2024-03-15,2276720.4905624404
2024-03-18,2287909.2055513733
2024-03-19,2278478.0233698953
2024-03-20,2282194.039478827
2024-03-21,2296716.1087553618
2024-03-22,2283014.5347318724
2024-03-25,2270857.9167915657
2024-03-26,2278331.3657914475
2024-03-27,2263438.2539661797
2024-03-28,2272271.6300972174
2024-03-29,2285514.106530257
2024-04-01,2311821.165557428
2024-04-02,2305867.5575695042
2024-04-03,2301899.1349682165
2024-04-08,2290640.3479159344
2024-04-09,2296476.693216242
2024-04-10,2286938.154167817
2024-04-11,2278537.2737768977
2024-04-12,2292697.151380274
2024-04-15,2297148.1489098687
2024-04-16,2255649.249162593
2024-04-17,2279225.1294702278
2024-04-18,2283339.2905103914
2024-04-19,2267315.732217938
2024-04-22,2251487.426968324
2024-04-23,2224259.1166218766
2024-04-24,2235427.3256754847
2024-04-25,2236579.4553313046
2024-04-26,2266826.3102950184
2024-04-29,2287707.552923809
2024-04-30,2279081.6526549235
2024-05-06,2296055.9516841387
2024-05-07,2297673.954829491
2024-05-08,2283444.008403934
2024-05-09,2294240.3361685746
2024-05-10,2302508.7935921093
2024-05-13,2301396.05771893
2024-05-14,2299907.0937501728
2024-05-15,2300337.289166291
2024-05-16,2316912.1673017303
2024-05-17,2321636.399800628
2024-05-20,2338809.6907468433
2024-05-21,2332350.5828531752
2024-05-22,2337177.7468168433
2024-05-23,2314201.521404836
2024-05-24,2287784.88603845
2024-05-27,2301863.7309824787
