date,nav
2022-09-06,153492.32182554036
2022-09-07,153504.503755844
2022-09-08,153516.68665296747
2022-09-09,153528.87051698755
2022-09-13,153541.05534798096
2022-09-14,153553.24114602446
2022-09-15,153565.4279111948
2022-09-16,153577.61564356872
2022-09-19,153589.80434322296
2022-09-20,153601.99401023434
2022-09-21,153614.1846446796
2022-09-22,153626.37624663554
2022-09-23,153638.56881617894
2022-09-26,153650.76235338658
2022-09-27,153662.95685833527
2022-09-28,153675.1523311018
2022-09-29,153687.348771763
2022-09-30,153699.5461803957
2022-10-10,153699.5461803957
2022-10-11,153711.7445570767
2022-10-12,153723.9439018828
2022-10-13,153736.1442148909
2022-10-14,153748.3454961778
2022-10-17,153760.54774582034
2022-10-18,153772.7509638954
2022-10-19,153784.95515047986
2022-10-20,153797.16030565053
2022-10-21,153809.3664294843
2022-10-24,153821.57352205808
2022-10-25,153833.78158344873
2022-10-26,153845.99061373313
2022-10-27,153858.2006129882
2022-10-28,153870.41158129083
2022-10-31,153882.6235187179
2022-11-01,153894.83642534638
2022-11-02,153907.05030125316
2022-11-03,153919.26514651516
2022-11-04,153931.48096120934
2022-11-07,153943.69774541262
2022-11-08,153955.91549920195
2022-11-09,153968.13422265428
2022-11-10,153980.35391584656
2022-11-11,153992.57457885577
2022-11-14,154004.79621175886
2022-11-15,154017.01881463281
2022-11-16,154029.2423875546
2022-11-17,154041.46693060125
2022-11-18,154053.69244384972
2022-11-21,154065.91892737703
2022-11-22,154078.14638126016
2022-11-23,154090.37480557614
2022-11-24,154102.60420040198
2022-11-25,154114.83456581473
2022-11-28,154127.0659018914
2022-11-29,154139.298208709
2022-11-30,154151.5314863446
2022-12-01,154163.76573487528
2022-12-02,154176.00095437805
2022-12-05,154188.23714493
2022-12-06,154200.47430660817
2022-12-07,154212.71243948967
2022-12-08,154224.95154365155
2022-12-09,154237.1916191709
2022-12-12,154249.4326661248
2022-12-13,154261.67468459037
2022-12-14,154273.9176746447
2022-12-15,154286.1616363649
2022-12-16,154298.4065698281
2022-12-19,154310.65247511142
2022-12-20,154322.89935229198
2022-12-21,154335.14720144693
2022-12-22,154347.3960226534
2022-12-23,154359.64581598854
2022-12-26,154371.8965815295
2022-12-27,154384.14831935344
2022-12-28,154396.40102953752
2022-12-29,154408.65471215892
2022-12-30,154420.9093672948
2023-01-03,154433.16499502238
2023-01-04,154445.42159541883
2023-01-05,154457.67916856133
2023-01-06,154469.9377145271
