date,国债ETF,纳指,创业板,黄金,沪深300
2020-09-03,,536238.569314608,,536238.569314608,536238.569314608
2020-09-04,,669284.6333067416,,669284.6333067416,
2020-09-07,,631203.7593089995,,631203.7593089995,
2020-09-08,,639421.6139489142,,639421.6139489142,
2020-09-09,,438900.14723916433,,438900.14723916433,438900.14723916433
2020-09-10,,444423.26325248973,,444423.26325248973,444423.26325248973
2020-09-11,,632985.366742932,,632985.366742932,
2020-09-14,,641622.1648114428,,641622.1648114428,
2020-09-15,,650952.8193013377,,650952.8193013377,
2020-09-16,,654665.1859649584,,654665.1859649584,
2020-09-17,,620249.8489909363,,,620249.8489909363
2020-09-18,,629482.1285099821,,,629482.1285099821
2020-09-21,,624780.7929168651,,,624780.7929168651
2020-09-22,,1138227.4223600351,,,
2020-09-23,,1152254.9027342934,,,
2020-09-24,,1124842.5127557688,,,
2020-09-25,,1124778.0054119693,,,
2020-09-28,,1140256.300865719,,,
2020-09-29,,1149947.185327329,,,
2020-09-30,,1157434.5778425075,,,
2020-10-09,,1175106.2510369776,,,
2020-10-12,,437898.07986341114,437898.07986341114,,437898.07986341114
2020-10-13,,442966.54476541013,442966.5447654102,,442966.54476541013
2020-10-14,,444347.80517358036,444347.8051735803,,444347.80517358036
2020-10-15,,442103.43617017893,442103.436170179,,442103.43617017893
2020-10-16,,444606.98064610886,444606.98064610886,,444606.98064610886
2020-10-19,,1197365.8433271802,,,
2020-10-20,,,,,
2020-10-21,,,,,
2020-10-22,,,,,
2020-10-23,,,,,
2020-10-26,,,,,
2020-10-27,,,,,
2020-10-28,,,,,
2020-10-29,,,,,
2020-10-30,,,,,
2020-11-02,,,,,
2020-11-03,,,,,
2020-11-04,,,,,
2020-11-05,,,,,
2020-11-06,,,,,
2020-11-09,,,,,
2020-11-10,,,,,
2020-11-11,,,,,
2020-11-12,,,,,
2020-11-13,,,,,
2020-11-16,,,,,
2020-11-17,,,,,
2020-11-18,,,,,
2020-11-19,,,,,
2020-11-20,,,,,
2020-11-23,,,,,
2020-11-24,,,,,
2020-11-25,,,,,
2020-11-26,,,,,
2020-11-27,,,,,
2020-11-30,,,,,
2020-12-01,,,,,
2020-12-02,,,,,
2020-12-03,,,,,
2020-12-04,,,,,
2020-12-07,,,,,
2020-12-08,,,,,
2020-12-09,956908.6442149432,,,,956908.6442149433
2020-12-10,955951.5860604806,,,,955951.5860604806
2020-12-11,,,754815.2014691894,,754815.2014691894
2020-12-14,,,,,1595145.199882948
2020-12-15,,,768473.6009816774,,768473.6009816774
2020-12-16,,,778143.9473274096,,778143.9473274096
2020-12-17,,,784759.7262552304,,784759.7262552303
2020-12-18,,,788929.1305801898,,788929.1305801898
2020-12-21,,,780857.2154711371,,780857.2154711371
2020-12-22,588876.976235966,,588876.976235966,,588876.976235966
2020-12-23,450958.90799243643,450958.9079924364,450958.9079924365,,450958.9079924364
2020-12-24,454929.3230304628,454929.3230304627,454929.32303046284,,454929.3230304628
2020-12-25,460836.23193581216,460836.23193581216,460836.23193581216,,460836.2319358122
2020-12-28,,,783301.4206183103,,783301.4206183103
2020-12-29,,,782761.180241351,,782761.180241351
2020-12-30,610852.9514582186,,610852.9514582186,,610852.9514582186
2020-12-31,603761.7379976499,,603761.7379976499,,603761.7379976499
2021-01-04,601461.2901696446,,601461.2901696446,,601461.2901696446
2021-01-05,,,,,
2021-01-06,,,,,
2021-01-07,,,,,
2021-01-08,,,,,
2021-01-11,,,,,
2021-01-12,,,,,
2021-01-13,,,,,
2021-01-14,,,,,
2021-01-15,,,,,
2021-01-18,,,,,
2021-01-19,,,,,
2021-01-20,,,,,
2021-01-21,,,,,
2021-01-22,,,,,
2021-01-25,,,,,
2021-01-26,,,,,
2021-01-27,,,,,
2021-01-28,,,,,
2021-01-29,,,,,
2021-02-01,,,,,
2021-02-02,,,,,
2021-02-03,,,,,
2021-02-04,,,,,
2021-02-05,,,,,
2021-02-08,,,,,
2021-02-09,,,,,
2021-02-10,,,,,
2021-02-18,,,,,
2021-02-19,,,,,
2021-02-22,,,,,
2021-02-23,,,,,
2021-02-24,,,,,
2021-02-25,,,,,
2021-02-26,,,,,
2021-03-01,,,,,
2021-03-02,,,,,
2021-03-03,,,,,
2021-03-04,,,,,
2021-03-05,,,,,
2021-03-08,,,,,
2021-03-09,,,,,
2021-03-10,,,,,
2021-03-11,,,,,
2021-03-12,,,,,
2021-03-15,,,,,
2021-03-16,,,,,
2021-03-17,,,,,
2021-03-18,,,,,
2021-03-19,,,,,
2021-03-22,,,,,
2021-03-23,,,,,
2021-03-24,,,,,
2021-03-25,,,,,
2021-03-26,,,,,
2021-03-29,,,,,
2021-03-30,,,,,
2021-03-31,,,,,
2021-04-01,,,,,
2021-04-02,,,,,
2021-04-06,,,,,
2021-04-07,,,,,
2021-04-08,,,,,
2021-04-09,,,,,
2021-04-12,,,,,
2021-04-13,,,,,
2021-04-14,,,,,
2021-04-15,,,,,
2021-04-16,,,,,
2021-04-19,,,,,
2021-04-20,,,,,
2021-04-21,,,,,
2021-04-22,,,,,
2021-04-23,,,,,
2021-04-26,,,,,
2021-04-27,,,,,
2021-04-28,,,,,
2021-04-29,,,,,
2021-04-30,,,,,
2021-05-06,,,,,
2021-05-07,385659.22521096066,385659.22521096066,385659.22521096066,385659.22521096066,385659.22521096066
2021-05-10,515027.849808983,515027.84980898304,515027.84980898304,515027.8498089831,
2021-05-11,511181.0513119395,511181.0513119395,511181.0513119395,511181.0513119395,
2021-05-12,513359.8451161541,513359.8451161542,513359.84511615423,513359.8451161542,
